,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,11,Chennai Super Kings,Sunrisers Hyderabad,181,178,18.3,20,2,6,"[' Wankhede Stadium', ' Mumbai ']"
1,11,Sunrisers Hyderabad,Kolkata Knight Riders,174,160,20,20,7,9,"[' Eden Gardens', ' Kolkata ']"
2,11,Kolkata Knight Riders,Rajasthan Royals,169,144,20,20,7,4,"[' Eden Gardens', ' Kolkata ']"
3,11,Chennai Super Kings,Sunrisers Hyderabad,140,139,19.1,20,8,7,"[' Wankhede Stadium', ' Mumbai ']"
4,11,Chennai Super Kings,Punjab Kings,159,153,19.1,19.4,5,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
5,11,Delhi Capitals,Mumbai Indians,174,163,20,19.3,4,2,"[' Arun Jaitley Stadium', ' Delhi ']"
6,11,Kolkata Knight Riders,Sunrisers Hyderabad,173,172,19.4,20,5,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
7,11,Rajasthan Royals,Royal Challengers Bangalore,164,134,20,19.2,5,2,"[' Sawai Mansingh Stadium', ' Jaipur ']"
8,11,Delhi Capitals,Chennai Super Kings,162,128,20,20,5,6,"[' Arun Jaitley Stadium', ' Delhi ']"
9,11,Royal Challengers Bangalore,Sunrisers Hyderabad,218,204,20,20,6,3,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
10,11,Mumbai Indians,Punjab Kings,186,183,20,20,8,5,"[' Wankhede Stadium', ' Mumbai ']"
11,11,Kolkata Knight Riders,Rajasthan Royals,145,142,18,19,4,2,"[' Eden Gardens', ' Kolkata ']"
12,11,Royal Challengers Bangalore,Punjab Kings,92,88,8.1,15.1,0,2,"[' Holkar Cricket Stadium', ' Indore ']"
13,11,Rajasthan Royals,Mumbai Indians,171,168,18,20,3,6,"[' Wankhede Stadium', ' Mumbai ']"
14,11,Chennai Super Kings,Sunrisers Hyderabad,180,179,19,20,2,4,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
15,11,Royal Challengers Bangalore,Delhi Capitals,187,181,19,20,5,4,"[' Arun Jaitley Stadium', ' Delhi ']"
16,11,Kolkata Knight Riders,Punjab Kings,245,214,20,20,6,8,"[' Holkar Cricket Stadium', ' Indore ']"
17,11,Rajasthan Royals,Chennai Super Kings,177,176,19.5,20,6,4,"[' Sawai Mansingh Stadium', ' Jaipur ']"
18,11,Sunrisers Hyderabad,Delhi Capitals,191,187,18.5,20,1,5,"[' Arun Jaitley Stadium', ' Delhi ']"
19,11,Mumbai Indians,Kolkata Knight Riders,210,108,20,18.1,6,2,"[' Eden Gardens', ' Kolkata ']"
20,11,Rajasthan Royals,Punjab Kings,158,143,20,20,8,7,"[' Sawai Mansingh Stadium', ' Jaipur ']"
21,11,Sunrisers Hyderabad,Royal Challengers Bangalore,146,141,20,20,2,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
22,11,Punjab Kings,Rajasthan Royals,155,152,18.4,20,4,9,"[' Holkar Cricket Stadium', ' Indore ']"
23,11,Mumbai Indians,Kolkata Knight Riders,181,168,20,20,4,6,"[' Wankhede Stadium', ' Mumbai ']"
24,11,Sunrisers Hyderabad,Delhi Capitals,164,163,19.5,20,3,5,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
25,11,Chennai Super Kings,Royal Challengers Bangalore,128,127,18,20,4,9,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
26,11,Mumbai Indians,Punjab Kings,176,174,19,20,4,6,"[' Holkar Cricket Stadium', ' Indore ']"
27,11,Kolkata Knight Riders,Chennai Super Kings,180,177,17.4,20,4,5,"[' Eden Gardens', ' Kolkata ']"
28,11,Delhi Capitals,Rajasthan Royals,196,146,17.1/17.1,12/12,6,5,"[' Arun Jaitley Stadium', ' Delhi ']"
29,11,Royal Challengers Bangalore,Mumbai Indians,167,153,20,20,7,7,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
30,11,Chennai Super Kings,Delhi Capitals,211,198,20,20,4,5,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
31,11,Kolkata Knight Riders,Royal Challengers Bangalore,176,175,19.1,20,4,4,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
32,11,Sunrisers Hyderabad,Rajasthan Royals,151,140,20,20,7,6,"[' Sawai Mansingh Stadium', ' Jaipur ']"
33,11,Mumbai Indians,Chennai Super Kings,170,169,19.4,20,2,5,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
34,11,Delhi Capitals,Kolkata Knight Riders,219,164,20,20,4,9,"[' Arun Jaitley Stadium', ' Delhi ']"
35,11,Sunrisers Hyderabad,Punjab Kings,132,119,20,19.2,6,2,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
36,11,Chennai Super Kings,Royal Challengers Bangalore,207,205,19.4,20,5,8,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
37,11,Sunrisers Hyderabad,Mumbai Indians,118,87,20,18.5,2,2,"[' Wankhede Stadium', ' Mumbai ']"
38,11,Punjab Kings,Delhi Capitals,143,139,20,20,8,8,"[' Arun Jaitley Stadium', ' Delhi ']"
39,11,Rajasthan Royals,Mumbai Indians,168,167,19.4,20,7,7,"[' Sawai Mansingh Stadium', ' Jaipur ']"
40,11,Chennai Super Kings,Sunrisers Hyderabad,182,178,20,20,3,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
41,11,Royal Challengers Bangalore,Delhi Capitals,176,174,18,20,4,5,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
42,11,Punjab Kings,Kolkata Knight Riders,126,191,11.1/13,20,1,7,"[' Eden Gardens', ' Kolkata ']"
43,11,Chennai Super Kings,Rajasthan Royals,204,140,20,18.3,5,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
44,11,Punjab Kings,Sunrisers Hyderabad,193,178,20,20,3,4,"[' IS Bindra Stadium', ' Mohali ']"
45,11,Kolkata Knight Riders,Rajasthan Royals,163,160,18.5,20,3,8,"[' Sawai Mansingh Stadium', ' Jaipur ']"
46,11,Mumbai Indians,Royal Challengers Bangalore,213,167,20,20,6,8,"[' Wankhede Stadium', ' Mumbai ']"
47,11,Kolkata Knight Riders,Delhi Capitals,200,129,20,14.2,9,2,"[' Eden Gardens', ' Kolkata ']"
48,11,Punjab Kings,Chennai Super Kings,197,193,20,20,7,5,"[' IS Bindra Stadium', ' Mohali ']"
49,11,Rajasthan Royals,Royal Challengers Bangalore,217,198,20,20,4,6,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
50,11,Sunrisers Hyderabad,Kolkata Knight Riders,139,138,19,20,5,8,"[' Eden Gardens', ' Kolkata ']"
51,11,Delhi Capitals,Mumbai Indians,195,194,20,20,3,7,"[' Wankhede Stadium', ' Mumbai ']"
52,11,Royal Challengers Bangalore,Punjab Kings,159,155,19.3,19.2,6,2,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
53,11,Sunrisers Hyderabad,Mumbai Indians,151,147,20,20,9,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
54,11,Rajasthan Royals,Delhi Capitals,153,60,17.5/17.5,6/6,5,4,"[' Sawai Mansingh Stadium', ' Jaipur ']"
55,11,Chennai Super Kings,Kolkata Knight Riders,205,202,19.5,20,5,6,"[' M. A. Chidambaram Stadium', ' Chennai ']"
56,11,Sunrisers Hyderabad,Rajasthan Royals,127,125,15.5,20,1,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
57,11,Kolkata Knight Riders,Royal Challengers Bangalore,177,176,18.5,20,6,7,"[' Eden Gardens', ' Kolkata ']"
58,11,Punjab Kings,Delhi Capitals,167,166,18.5,20,4,7,"[' IS Bindra Stadium', ' Mohali ']"
59,11,Chennai Super Kings,Mumbai Indians,169,165,19.5,20,9,4,"[' Wankhede Stadium', ' Mumbai ']"
