,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,1,Rajasthan Royals,Chennai Super Kings,164,163,    20,20.0,7,5,"[' DY Patil Stadium', ' Navi Mumbai ']"
1,1,Chennai Super Kings,Punjab Kings,116,112,    14.5,20.0,1,8,"[' Wankhede Stadium', ' Mumbai ']"
2,1,Rajasthan Royals,Delhi Capitals,192,87,    20,16.1,9,2,"[' Wankhede Stadium', ' Mumbai ']"
3,1,Punjab Kings,Rajasthan Royals,221,180,    20,20.0,3,7,"[' IS Bindra Stadium', ' Mohali ']"
4,1,Mumbai Indians,Royal Challengers Bangalore,126,122,    16,18.0,1,9,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
5,1,Chennai Super Kings,Deccan Chargers,148,147,    19.2,20.0,3,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
6,1,Rajasthan Royals,Mumbai Indians,146,145,    20,20.0,5,7,"[' Sawai Mansingh Stadium', ' Jaipur ']"
7,1,Kolkata Knight Riders,Punjab Kings,175,174,    19.4,20.0,7,6,"[' Eden Gardens', ' Kolkata ']"
8,1,Royal Challengers Bangalore,Deccan Chargers,171,165,    19,20.0,5,2,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
9,1,Delhi Capitals,Mumbai Indians,179,176,    19.5,20.0,5,8,"[' Arun Jaitley Stadium', ' Delhi ']"
10,1,Rajasthan Royals,Chennai Super Kings,211,201,    20,20.0,5,7,"[' M. A. Chidambaram Stadium', ' Chennai ']"
11,1,Punjab Kings,Deccan Chargers,178,175,    19.3,20.0,4,4,"[' IS Bindra Stadium', ' Mohali ']"
12,1,Royal Challengers Bangalore,Chennai Super Kings,126,112,    20,20.0,8,8,"[' Arun Jaitley Stadium', ' Delhi ']"
13,1,Punjab Kings,Mumbai Indians,189,188,    20,20.0,4,2,"[' M. A. Chidambaram Stadium', ' Chennai ']"
14,1,Rajasthan Royals,Kolkata Knight Riders,150,147,    16.3,20.0,4,8,"[' Wankhede Stadium', ' Mumbai ']"
15,1,Delhi Capitals,Royal Challengers Bangalore,158,154,    18.2,20.0,5,7,"[' Eden Gardens', ' Kolkata ']"
16,1,Mumbai Indians,Deccan Chargers,178,153,    20,20.0,7,7,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
17,1,Chennai Super Kings,Kolkata Knight Riders,55,52,"   8/8
                
",8.0,0,5,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
18,1,Punjab Kings,Delhi Capitals,94,88,"   8/8
                
",8.0,3,4,"[' Eden Gardens', ' Kolkata ']"
19,1,Rajasthan Royals,Royal Challengers Bangalore,197,132,    20,20.0,1,9,"[' Arun Jaitley Stadium', ' Delhi ']"
20,1,Mumbai Indians,Kolkata Knight Riders,68,67,   5.3,15.2,2,2,"[' Sawai Mansingh Stadium', ' Jaipur ']"
21,1,Delhi Capitals,Deccan Chargers,194,182,    20,20.0,4,9,"[' Wankhede Stadium', ' Mumbai ']"
22,1,Mumbai Indians,Chennai Super Kings,158,156,    13.5,20.0,1,6,"[' Arun Jaitley Stadium', ' Delhi ']"
23,1,Kolkata Knight Riders,Delhi Capitals,133,110,    20,17.5,6,2,"[' Wankhede Stadium', ' Mumbai ']"
24,1,Punjab Kings,Royal Challengers Bangalore,144,143,    15.4,20.0,1,8,"[' Eden Gardens', ' Kolkata ']"
25,1,Rajasthan Royals,Delhi Capitals,159,156,    19.1,20.0,7,7,"[' IS Bindra Stadium', ' Mohali ']"
26,1,Kolkata Knight Riders,Deccan Chargers,204,181,    20,20.0,4,7,"[' Sawai Mansingh Stadium', ' Jaipur ']"
27,1,Chennai Super Kings,Punjab Kings,181,163,    20,20.0,4,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
28,1,Rajasthan Royals,Deccan Chargers,141,140,    16,20.0,2,8,"[' M. A. Chidambaram Stadium', ' Chennai ']"
29,1,Kolkata Knight Riders,Royal Challengers Bangalore,129,124,    16,16.0,7,4,"[' Sawai Mansingh Stadium', ' Jaipur ']"
30,1,Chennai Super Kings,Delhi Capitals,188,187,    20,20.0,6,5,"[' Eden Gardens', ' Kolkata ']"
31,1,Mumbai Indians,Rajasthan Royals,104,103,    15.1,16.2,3,2,"[' Arun Jaitley Stadium', ' Delhi ']"
32,1,Deccan Chargers,Chennai Super Kings,148,144,    18,20.0,3,7,"[' DY Patil Stadium', ' Navi Mumbai ']"
33,1,Punjab Kings,Royal Challengers Bangalore,127,126,    18.2,19.2,4,2,"[' M. A. Chidambaram Stadium', ' Chennai ']"
34,1,Rajasthan Royals,Chennai Super Kings,110,109,    14.2,19.0,2,2,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
35,1,Mumbai Indians,Delhi Capitals,162,133,    20,18.5,8,2,"[' Sawai Mansingh Stadium', ' Jaipur ']"
36,1,Punjab Kings,Kolkata Knight Riders,178,169,    20,20.0,6,6,"[' DY Patil Stadium', ' Navi Mumbai ']"
37,1,Royal Challengers Bangalore,Deccan Chargers,156,153,    20,20.0,8,6,"[' IS Bindra Stadium', ' Mohali ']"
38,1,Delhi Capitals,Chennai Super Kings,172,169,    19,20.0,2,6,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
39,1,Punjab Kings,Deccan Chargers,167,164,    18.5,20.0,3,8,"[' M. A. Chidambaram Stadium', ' Chennai ']"
40,1,Rajasthan Royals,Kolkata Knight Riders,196,151,    20,19.1,7,2,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
41,1,Delhi Capitals,Royal Challengers Bangalore,191,181,    20,20.0,5,5,"[' Sawai Mansingh Stadium', ' Jaipur ']"
42,1,Mumbai Indians,Kolkata Knight Riders,138,137,    18.4,20.0,3,8,"[' Arun Jaitley Stadium', ' Delhi ']"
43,1,Chennai Super Kings,Royal Challengers Bangalore,178,165,    20,19.4,5,2,"[' Eden Gardens', ' Kolkata ']"
44,1,Deccan Chargers,Mumbai Indians,155,154,    12,20.0,0,7,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
45,1,Punjab Kings,Delhi Capitals,162,158,    19.3,20.0,6,8,"[' DY Patil Stadium', ' Navi Mumbai ']"
46,1,Rajasthan Royals,Royal Challengers Bangalore,138,135,    17.1,20.0,3,8,"[' IS Bindra Stadium', ' Mohali ']"
47,1,Chennai Super Kings,Kolkata Knight Riders,152,147,    17,20.0,1,9,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
48,1,Punjab Kings,Mumbai Indians,182,116,    20,20.0,2,9,"[' M. A. Chidambaram Stadium', ' Chennai ']"
49,1,Rajasthan Royals,Deccan Chargers,217,214,    19.5,20.0,7,5,"[' IS Bindra Stadium', ' Mohali ']"
50,1,Chennai Super Kings,Mumbai Indians,208,202,    20,20.0,5,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
51,1,Delhi Capitals,Deccan Chargers,143,142,    13,20.0,1,8,"[' M. A. Chidambaram Stadium', ' Chennai ']"
52,1,Rajasthan Royals,Punjab Kings,168,166,    18.1,20.0,4,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
53,1,Royal Challengers Bangalore,Mumbai Indians,166,165,    19.4,20.0,5,6,"[' Sawai Mansingh Stadium', ' Jaipur ']"
54,1,Kolkata Knight Riders,Deccan Chargers,112,110,    19,18.4,5,2,"[' Wankhede Stadium', ' Mumbai ']"
55,1,Delhi Capitals,Rajasthan Royals,132,129,    15.1,20.0,1,8,"[' Eden Gardens', ' Kolkata ']"
56,1,Chennai Super Kings,Punjab Kings,240,207,    20,20.0,5,4,"[' Arun Jaitley Stadium', ' Delhi ']"
57,1,Kolkata Knight Riders,Royal Challengers Bangalore,222,82,    20,15.1,3,2,"[' IS Bindra Stadium', ' Mohali ']"
