,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,10,Mumbai Indians,Rising Pune Supergiant,129,128,    20,20.0,8,5,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
1,10,Mumbai Indians,Kolkata Knight Riders,111,107,    14.3,18.5,4,2,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
2,10,Kolkata Knight Riders,Sunrisers Hyderabad,48,128,"   5.2/6
                
",20.0,3,7,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
3,10,Rising Pune Supergiant,Mumbai Indians,162,142,    20,20.0,4,9,"[' Wankhede Stadium', ' Mumbai ']"
4,10,Royal Challengers Bangalore,Delhi Capitals,161,151,    20,20.0,6,2,"[' Arun Jaitley Stadium', ' Delhi ']"
5,10,Rising Pune Supergiant,Punjab Kings,78,73,   12,15.5,1,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
6,10,Mumbai Indians,Kolkata Knight Riders,173,164,    20,20.0,5,8,"[' Eden Gardens', ' Kolkata ']"
7,10,Sunrisers Hyderabad,Gujarat Lions,158,154,    18.1,19.2,2,2,"[' Green Park', ' Kanpur ']"
8,10,Delhi Capitals,Rising Pune Supergiant,168,161,    20,20.0,8,7,"[' Arun Jaitley Stadium', ' Delhi ']"
9,10,Punjab Kings,Mumbai Indians,230,223,    20,20.0,3,6,"[' Wankhede Stadium', ' Mumbai ']"
10,10,Delhi Capitals,Gujarat Lions,197,195,    19.4,20.0,8,5,"[' Green Park', ' Kanpur ']"
11,10,Punjab Kings,Kolkata Knight Riders,167,153,    20,20.0,6,6,"[' IS Bindra Stadium', ' Mohali ']"
12,10,Sunrisers Hyderabad,Mumbai Indians,140,138,    18.2,20.0,3,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
13,10,Gujarat Lions,Punjab Kings,192,189,    19.4,20.0,4,3,"[' IS Bindra Stadium', ' Mohali ']"
14,10,Kolkata Knight Riders,Royal Challengers Bangalore,159,158,    15.1,20.0,4,6,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
15,10,Mumbai Indians,Delhi Capitals,212,66,    20,13.4,3,2,"[' Arun Jaitley Stadium', ' Delhi ']"
16,10,Rising Pune Supergiant,Sunrisers Hyderabad,148,136,    20,20.0,8,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
17,10,Punjab Kings,Royal Challengers Bangalore,138,119,    20,19.0,7,2,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
18,10,Delhi Capitals,Gujarat Lions,214,208,    17.3,20.0,3,7,"[' Arun Jaitley Stadium', ' Delhi ']"
19,10,Rising Pune Supergiant,Kolkata Knight Riders,158,155,    19.2,20.0,6,8,"[' Eden Gardens', ' Kolkata ']"
20,10,Delhi Capitals,Sunrisers Hyderabad,189,185,    19.1,20.0,4,3,"[' Arun Jaitley Stadium', ' Delhi ']"
21,10,Rising Pune Supergiant,Gujarat Lions,167,161,    19.5,19.5,5,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
22,10,Mumbai Indians,Royal Challengers Bangalore,165,162,    19.5,20.0,5,8,"[' Wankhede Stadium', ' Mumbai ']"
23,10,Sunrisers Hyderabad,Kolkata Knight Riders,209,161,    20,20.0,3,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
24,10,Punjab Kings,Delhi Capitals,68,67,   7.5,17.1,0,2,"[' IS Bindra Stadium', ' Mohali ']"
25,10,Mumbai Indians,Gujarat Lions,153,153,    20,20.0,2,9,"[' Saurashtra Cricket Association Stadium', ' Rajkot ']"
26,10,Rising Pune Supergiant,Royal Challengers Bangalore,157,96,    20,20.0,3,9,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
27,10,Sunrisers Hyderabad,Punjab Kings,207,181,    20,20.0,3,9,"[' IS Bindra Stadium', ' Mohali ']"
28,10,Kolkata Knight Riders,Delhi Capitals,161,160,    16.2,20.0,3,6,"[' Eden Gardens', ' Kolkata ']"
29,10,Gujarat Lions,Royal Challengers Bangalore,135,134,    13.5,20.0,3,2,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
