,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,12,Mumbai Indians,Chennai Super Kings,149,148,20.0,20.0,8,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
1,12,Chennai Super Kings,Delhi Capitals,151,147,19.0,20.0,4,9,"[' ACA-VDCA Stadium', ' Visakhapatnam ']"
2,12,Delhi Capitals,Sunrisers Hyderabad,165,162,19.5,20.0,8,8,"[' ACA-VDCA Stadium', ' Visakhapatnam ']"
3,12,Mumbai Indians,Chennai Super Kings,132,131,18.3,20.0,4,4,"[' M. A. Chidambaram Stadium', ' Chennai ']"
4,12,Mumbai Indians,Kolkata Knight Riders,134,133,16.1,20.0,1,7,"[' Wankhede Stadium', ' Mumbai ']"
5,12,Punjab Kings,Chennai Super Kings,173,170,18.0,20.0,4,5,"[' IS Bindra Stadium', ' Mohali ']"
6,12,Royal Challengers Bangalore,Sunrisers Hyderabad,178,175,19.2,20.0,6,7,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
7,12,Delhi Capitals,Rajasthan Royals,121,115,16.1,20.0,5,9,"[' Arun Jaitley Stadium', ' Delhi ']"
8,12,Kolkata Knight Riders,Punjab Kings,185,183,18.0,20.0,3,6,"[' IS Bindra Stadium', ' Mohali ']"
9,12,Mumbai Indians,Sunrisers Hyderabad,162,162,20.0,20.0,5,6,"[' Wankhede Stadium', ' Mumbai ']"
10,12,Chennai Super Kings,Delhi Capitals,179,99,20.0,16.2,4,2,"[' M. A. Chidambaram Stadium', ' Chennai ']"
11,12,Sunrisers Hyderabad,Punjab Kings,212,167,20.0,20.0,6,8,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
12,12,Kolkata Knight Riders,Mumbai Indians,232,198,20.0,20.0,2,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
13,12,Delhi Capitals,Royal Challengers Bangalore,187,171,20.0,20.0,5,7,"[' Eden Gardens', ' Kolkata ']"
14,12,Rajasthan Royals,Sunrisers Hyderabad,161,160,19.1,20.0,3,8,"[' Arun Jaitley Stadium', ' Delhi ']"
15,12,Mumbai Indians,Chennai Super Kings,155,109,20.0,17.4,4,2,"[' Sawai Mansingh Stadium', ' Jaipur ']"
16,12,Rajasthan Royals,Kolkata Knight Riders,177,175,19.2,20.0,7,6,"[' M. A. Chidambaram Stadium', ' Chennai ']"
17,12,Royal Challengers Bangalore,Punjab Kings,202,185,20.0,20.0,4,7,"[' Eden Gardens', ' Kolkata ']"
18,12,Chennai Super Kings,Sunrisers Hyderabad,176,175,19.5,20.0,4,3,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
19,12,Delhi Capitals,Rajasthan Royals,193,191,19.2,20.0,4,6,"[' M. A. Chidambaram Stadium', ' Chennai ']"
20,12,Royal Challengers Bangalore,Chennai Super Kings,161,160,20.0,20.0,7,8,"[' Sawai Mansingh Stadium', ' Jaipur ']"
21,12,Sunrisers Hyderabad,Kolkata Knight Riders,161,159,15.0,20.0,1,8,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
22,12,Delhi Capitals,Punjab Kings,166,163,19.4,20.0,5,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
23,12,Rajasthan Royals,Mumbai Indians,162,161,19.1,20.0,5,5,"[' Arun Jaitley Stadium', ' Delhi ']"
24,12,Royal Challengers Bangalore,Kolkata Knight Riders,213,203,20.0,20.0,4,5,"[' Sawai Mansingh Stadium', ' Jaipur ']"
25,12,Mumbai Indians,Delhi Capitals,168,128,20.0,20.0,5,9,"[' Eden Gardens', ' Kolkata ']"
26,12,Sunrisers Hyderabad,Chennai Super Kings,137,132,16.5,20.0,4,5,"[' Arun Jaitley Stadium', ' Delhi ']"
27,12,Punjab Kings,Rajasthan Royals,182,170,20.0,20.0,6,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
28,12,Mumbai Indians,Royal Challengers Bangalore,172,171,19.0,20.0,5,7,"[' IS Bindra Stadium', ' Mohali ']"
29,12,Delhi Capitals,Sunrisers Hyderabad,155,116,20.0,18.5,7,2,"[' Wankhede Stadium', ' Mumbai ']"
30,12,Chennai Super Kings,Kolkata Knight Riders,162,161,19.4,20.0,5,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
31,12,Royal Challengers Bangalore,Punjab Kings,174,173,19.2,20.0,2,4,"[' Eden Gardens', ' Kolkata ']"
32,12,Rajasthan Royals,Mumbai Indians,188,187,19.3,20.0,6,5,"[' IS Bindra Stadium', ' Mohali ']"
33,12,Delhi Capitals,Kolkata Knight Riders,180,178,18.5,20.0,3,7,"[' Wankhede Stadium', ' Mumbai ']"
34,12,Chennai Super Kings,Rajasthan Royals,155,151,20.0,20.0,6,7,"[' Eden Gardens', ' Kolkata ']"
35,12,Mumbai Indians,Punjab Kings,198,197,20.0,20.0,7,4,"[' Sawai Mansingh Stadium', ' Jaipur ']"
36,12,Chennai Super Kings,Kolkata Knight Riders,111,108,17.2,20.0,3,9,"[' Wankhede Stadium', ' Mumbai ']"
37,12,Punjab Kings,Sunrisers Hyderabad,151,150,19.5,20.0,4,4,"[' M. A. Chidambaram Stadium', ' Chennai ']"
38,12,Kolkata Knight Riders,Rajasthan Royals,140,139,13.5,20.0,2,3,"[' IS Bindra Stadium', ' Mohali ']"
