,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
39,12,Delhi Capitals,Royal Challengers Bangalore,152,149,18.5,20.0,6,8,"[' Sawai Mansingh Stadium', ' Jaipur ']"
40,12,Mumbai Indians,Sunrisers Hyderabad,136,96,20.0,17.4,7,2,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
41,12,Chennai Super Kings,Punjab Kings,160,138,20.0,20.0,3,5,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
42,12,Kolkata Knight Riders,Royal Challengers Bangalore,206,205,19.1,20.0,5,3,"[' M. A. Chidambaram Stadium', ' Chennai ']"
43,12,Sunrisers Hyderabad,Delhi Capitals,131,129,18.3,20.0,5,8,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
44,12,Mumbai Indians,Chennai Super Kings,170,133,20.0,20.0,5,8,"[' Arun Jaitley Stadium', ' Delhi ']"
45,12,Rajasthan Royals,Royal Challengers Bangalore,164,158,19.5,20.0,3,4,"[' Wankhede Stadium', ' Mumbai ']"
46,12,Punjab Kings,Delhi Capitals,166,152,20.0,19.2,9,2,"[' Sawai Mansingh Stadium', ' Jaipur ']"
47,12,Chennai Super Kings,Rajasthan Royals,175,167,20.0,20.0,5,8,"[' IS Bindra Stadium', ' Mohali ']"
48,12,Sunrisers Hyderabad,Royal Challengers Bangalore,231,113,20.0,19.5,2,2,"[' M. A. Chidambaram Stadium', ' Chennai ']"
49,12,Delhi Capitals,Kolkata Knight Riders,185,185,20.0,20.0,6,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
50,12,Punjab Kings,Mumbai Indians,177,176,18.4,20.0,2,7,"[' Arun Jaitley Stadium', ' Delhi ']"
51,12,Sunrisers Hyderabad,Rajasthan Royals,201,198,19.0,20.0,5,2,"[' IS Bindra Stadium', ' Mohali ']"
52,12,Mumbai Indians,Royal Challengers Bangalore,187,181,20.0,20.0,8,5,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
53,12,Kolkata Knight Riders,Punjab Kings,218,190,20.0,20.0,4,4,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
54,12,Chennai Super Kings,Delhi Capitals,150,147,19.4,20.0,4,6,"[' Eden Gardens', ' Kolkata ']"
55,12,Punjab Kings,Rajasthan Royals,184,170,20.0,20.0,4,9,"[' Arun Jaitley Stadium', ' Delhi ']"
56,12,Delhi Capitals,Mumbai Indians,213,176,20.0,19.2,6,2,"[' Sawai Mansingh Stadium', ' Jaipur ']"
57,12,Kolkata Knight Riders,Sunrisers Hyderabad,183,181,19.4,20.0,4,3,"[' Wankhede Stadium', ' Mumbai ']"
58,12,Chennai Super Kings,Royal Challengers Bangalore,71,70,17.4,17.1,3,2,"[' Eden Gardens', ' Kolkata ']"
