,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,13,Mumbai Indians,Delhi Capitals,157,156,18.4,20.0,5,7,"[' Dubai International Stadium', ' Dubai ']"
1,13,Delhi Capitals,Sunrisers Hyderabad,189,172,20.0,20.0,3,8,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
2,13,Sunrisers Hyderabad,Royal Challengers Bangalore,132,131,19.4,20.0,4,7,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
3,13,Mumbai Indians,Delhi Capitals,200,143,20.0,20.0,5,8,"[' Dubai International Stadium', ' Dubai ']"
4,13,Sunrisers Hyderabad,Mumbai Indians,151,149,17.1,20.0,0,8,"[' Sharjah Cricket Stadium', ' Sharjah ']"
5,13,Delhi Capitals,Royal Challengers Bangalore,154,152,19.0,20.0,4,7,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
6,13,Kolkata Knight Riders,Rajasthan Royals,191,131,20.0,20.0,7,9,"[' Dubai International Stadium', ' Dubai ']"
7,13,Chennai Super Kings,Punjab Kings,154,153,18.5,20.0,1,6,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
8,13,Sunrisers Hyderabad,Royal Challengers Bangalore,121,120,14.1,20.0,5,7,"[' Sharjah Cricket Stadium', ' Sharjah ']"
9,13,Mumbai Indians,Delhi Capitals,111,110,14.2,20.0,1,9,"[' Dubai International Stadium', ' Dubai ']"
10,13,Rajasthan Royals,Punjab Kings,186,185,17.3,20.0,3,4,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
11,13,Chennai Super Kings,Kolkata Knight Riders,178,172,20.0,20.0,4,5,"[' Dubai International Stadium', ' Dubai ']"
12,13,Mumbai Indians,Royal Challengers Bangalore,166,164,19.1,20.0,5,6,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
13,13,Sunrisers Hyderabad,Delhi Capitals,219,131,20.0,19.0,2,2,"[' Dubai International Stadium', ' Dubai ']"
14,13,Punjab Kings,Kolkata Knight Riders,150,149,18.5,20.0,2,9,"[' Sharjah Cricket Stadium', ' Sharjah ']"
15,13,Rajasthan Royals,Mumbai Indians,196,195,18.2,20.0,2,5,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
