,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,7,Kolkata Knight Riders,Punjab Kings,200,199,19.3,20,7,4,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
1,7,Punjab Kings,Chennai Super Kings,226,202,20,20,6,7,"[' Wankhede Stadium', ' Mumbai ']"
2,7,Chennai Super Kings,Mumbai Indians,176,173,18.4,20,3,8,"[' Brabourne Stadium', ' Mumbai ']"
3,7,Kolkata Knight Riders,Punjab Kings,163,135,20,20,8,8,"[' Eden Gardens', ' Kolkata ']"
4,7,Mumbai Indians,Rajasthan Royals,195,189,14.4,20,5,4,"[' Wankhede Stadium', ' Mumbai ']"
5,7,Punjab Kings,Delhi Capitals,119,115,13.5,18.1,3,2,"[' IS Bindra Stadium', ' Mohali ']"
6,7,Kolkata Knight Riders,Sunrisers Hyderabad,161,160,14.2,20,6,7,"[' Eden Gardens', ' Kolkata ']"
7,7,Chennai Super Kings,Royal Challengers Bangalore,160,154,17.4,20,2,6,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
8,7,Punjab Kings,Rajasthan Royals,179,163,20,20,4,8,"[' IS Bindra Stadium', ' Mohali ']"
9,7,Mumbai Indians,Delhi Capitals,173,158,20,20,2,4,"[' Wankhede Stadium', ' Mumbai ']"
10,7,Sunrisers Hyderabad,Chennai Super Kings,189,185,19.4,20,4,3,"[' JSCA International Cricket Stadium', ' Ranchi ']"
11,7,Kolkata Knight Riders,Royal Challengers Bangalore,195,165,20,20,4,5,"[' Eden Gardens', ' Kolkata ']"
12,7,Mumbai Indians,Punjab Kings,159,156,19,20,3,8,"[' IS Bindra Stadium', ' Mohali ']"
13,7,Kolkata Knight Riders,Chennai Super Kings,156,154,18,20,2,4,"[' Eden Gardens', ' Kolkata ']"
14,7,Sunrisers Hyderabad,Royal Challengers Bangalore,161,160,19.4,20,3,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
15,7,Punjab Kings,Delhi Capitals,165,164,19.4,20,6,7,"[' Arun Jaitley Stadium', ' Delhi ']"
16,7,Mumbai Indians,Rajasthan Royals,178,153,20,20,3,8,"[' Narendra Modi Stadium', ' Ahmedabad ']"
17,7,Kolkata Knight Riders,Sunrisers Hyderabad,146,142,19.4,20,3,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
18,7,Royal Challengers Bangalore,Chennai Super Kings,142,138,19.5,20,5,4,"[' JSCA International Cricket Stadium', ' Ranchi ']"
19,7,Rajasthan Royals,Delhi Capitals,201,139,20,20,6,9,"[' Narendra Modi Stadium', ' Ahmedabad ']"
20,7,Kolkata Knight Riders,Mumbai Indians,142,141,18.4,20,4,5,"[' Barabati Stadium', ' Cuttack ']"
21,7,Punjab Kings,Sunrisers Hyderabad,211,205,18.4,20,4,5,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
22,7,Royal Challengers Bangalore,Delhi Capitals,186,170,20,20,4,7,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
23,7,Chennai Super Kings,Rajasthan Royals,149,148,19.4,20,5,8,"[' JSCA International Cricket Stadium', ' Ranchi ']"
24,7,Mumbai Indians,Sunrisers Hyderabad,160,157,18.4,20,3,3,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
25,7,Rajasthan Royals,Royal Challengers Bangalore,191,190,18.5,20,5,5,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
26,7,Kolkata Knight Riders,Punjab Kings,150,149,18,20,1,8,"[' Barabati Stadium', ' Cuttack ']"
27,7,Chennai Super Kings,Mumbai Indians,160,157,19.3,20,6,6,"[' Wankhede Stadium', ' Mumbai ']"
28,7,Sunrisers Hyderabad,Delhi Capitals,44,143,4.2/5,20,2,7,"[' Arun Jaitley Stadium', ' Delhi ']"
29,7,Punjab Kings,Royal Challengers Bangalore,198,166,20,20,8,9,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
30,7,Sunrisers Hyderabad,Rajasthan Royals,134,102,20,19.5,9,2,"[' Narendra Modi Stadium', ' Ahmedabad ']"
31,7,Punjab Kings,Chennai Super Kings,231,187,20,20,4,6,"[' Barabati Stadium', ' Cuttack ']"
32,7,Kolkata Knight Riders,Delhi Capitals,161,160,18.2,20,2,5,"[' Arun Jaitley Stadium', ' Delhi ']"
33,7,Mumbai Indians,Royal Challengers Bangalore,187,168,20,20,5,8,"[' Wankhede Stadium', ' Mumbai ']"
34,7,Chennai Super Kings,Delhi Capitals,181,178,19.4,20,2,5,"[' Arun Jaitley Stadium', ' Delhi ']"
35,7,Rajasthan Royals,Kolkata Knight Riders,170,160,20,20,6,6,"[' Narendra Modi Stadium', ' Ahmedabad ']"
