,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,9,Sunrisers Hyderabad,Royal Challengers Bangalore,208,200,20,20,7,7,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
1,9,Sunrisers Hyderabad,Gujarat Lions,163,162,19.2,20,6,7,"[' Arun Jaitley Stadium', ' Delhi ']"
2,9,Sunrisers Hyderabad,Kolkata Knight Riders,162,140,20,20,8,8,"[' Arun Jaitley Stadium', ' Delhi ']"
3,9,Royal Challengers Bangalore,Gujarat Lions,159,158,18.2,20,6,2,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
4,9,Royal Challengers Bangalore,Delhi Capitals,139,138,18.1,20,4,8,"[' Shaheed Veer Narayan Singh International Cricket Stadium', ' Naya Raipur ']"
5,9,Kolkata Knight Riders,Sunrisers Hyderabad,171,149,20,20,6,8,"[' Eden Gardens', ' Kolkata ']"
6,9,Gujarat Lions,Mumbai Indians,173,172,17.5,20,4,8,"[' Green Park', ' Kanpur ']"
7,9,Rising Pune Supergiant,Punjab Kings,173,172,20,20,6,7,"[' ACA-VDCA Stadium', ' Visakhapatnam ']"
8,9,Delhi Capitals,Sunrisers Hyderabad,161,158,20,20,4,7,"[' Shaheed Veer Narayan Singh International Cricket Stadium', ' Naya Raipur ']"
9,9,Gujarat Lions,Kolkata Knight Riders,125,124,13.3,20,4,8,"[' Green Park', ' Kanpur ']"
10,9,Royal Challengers Bangalore,Punjab Kings,211,120,15/15,14/14,3,9,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
11,9,Rising Pune Supergiant,Delhi Capitals,76,121,11/11,20,1,6,"[' ACA-VDCA Stadium', ' Visakhapatnam ']"
12,9,Royal Challengers Bangalore,Kolkata Knight Riders,186,183,18.4,20,1,5,"[' Eden Gardens', ' Kolkata ']"
13,9,Mumbai Indians,Delhi Capitals,206,126,20,19.1,4,2,"[' ACA-VDCA Stadium', ' Visakhapatnam ']"
14,9,Sunrisers Hyderabad,Punjab Kings,180,179,19.4,20,3,4,"[' IS Bindra Stadium', ' Mohali ']"
15,9,Kolkata Knight Riders,Rising Pune Supergiant,66,103,5/9,17.4/17.4,2,6,"[' Eden Gardens', ' Kolkata ']"
16,9,Royal Challengers Bangalore,Gujarat Lions,248,104,20,18.4,3,2,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
17,9,Punjab Kings,Mumbai Indians,127,124,17,20,3,9,"[' ACA-VDCA Stadium', ' Visakhapatnam ']"
18,9,Delhi Capitals,Sunrisers Hyderabad,150,146,18.1,20,3,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
19,9,Mumbai Indians,Royal Challengers Bangalore,153,151,18.4,20,4,4,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
20,9,Sunrisers Hyderabad,Rising Pune Supergiant,137,133,20,20,8,8,"[' ACA-VDCA Stadium', ' Visakhapatnam ']"
21,9,Royal Challengers Bangalore,Punjab Kings,175,174,20,20,6,4,"[' IS Bindra Stadium', ' Mohali ']"
22,9,Gujarat Lions,Kolkata Knight Riders,164,158,18,20,5,4,"[' Eden Gardens', ' Kolkata ']"
23,9,Sunrisers Hyderabad,Mumbai Indians,177,92,20,16.3,3,2,"[' ACA-VDCA Stadium', ' Visakhapatnam ']"
