,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
24,9,Punjab Kings,Delhi Capitals,181,172,20,20,5,5,"[' IS Bindra Stadium', ' Mohali ']"
25,9,Royal Challengers Bangalore,Rising Pune Supergiant,195,191,19.3,20,3,6,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
26,9,Sunrisers Hyderabad,Gujarat Lions,129,126,19,20,5,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
27,9,Rising Pune Supergiant,Delhi Capitals,166,162,19.1,20,3,7,"[' Arun Jaitley Stadium', ' Delhi ']"
28,9,Kolkata Knight Riders,Punjab Kings,164,157,20,20,3,9,"[' Eden Gardens', ' Kolkata ']"
29,9,Delhi Capitals,Gujarat Lions,150,149,17.2,20,2,7,"[' Saurashtra Cricket Association Stadium', ' Rajkot ']"
30,9,Kolkata Knight Riders,Royal Challengers Bangalore,189,185,19.1,20,5,7,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
31,9,Mumbai Indians,Rising Pune Supergiant,161,159,18.3,20,2,5,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
32,9,Punjab Kings,Gujarat Lions,154,131,20,20,2,9,"[' Saurashtra Cricket Association Stadium', ' Rajkot ']"
33,9,Sunrisers Hyderabad,Royal Challengers Bangalore,194,179,20,20,5,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
34,9,Delhi Capitals,Kolkata Knight Riders,186,159,20,18.3,8,2,"[' Arun Jaitley Stadium', ' Delhi ']"
35,9,Gujarat Lions,Rising Pune Supergiant,196,195,20,20,7,3,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
36,9,Mumbai Indians,Kolkata Knight Riders,178,174,18,20,4,5,"[' Wankhede Stadium', ' Mumbai ']"
37,9,Gujarat Lions,Delhi Capitals,172,171,20,20,6,5,"[' Arun Jaitley Stadium', ' Delhi ']"
38,9,Rising Pune Supergiant,Sunrisers Hyderabad,94,118,11/11,20,3,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
39,9,Mumbai Indians,Punjab Kings,189,164,20,20,6,7,"[' IS Bindra Stadium', ' Mohali ']"
40,9,Kolkata Knight Riders,Rising Pune Supergiant,162,160,19.3,20,8,5,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
41,9,Gujarat Lions,Royal Challengers Bangalore,182,180,19.3,20,4,2,"[' Saurashtra Cricket Association Stadium', ' Rajkot ']"
42,9,Sunrisers Hyderabad,Punjab Kings,146,143,17.5,20,5,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
43,9,Delhi Capitals,Mumbai Indians,164,154,20,20,4,7,"[' Arun Jaitley Stadium', ' Delhi ']"
44,9,Royal Challengers Bangalore,Rising Pune Supergiant,185,172,20,20,3,8,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
45,9,Sunrisers Hyderabad,Gujarat Lions,137,135,14.5,20,0,8,"[' Saurashtra Cricket Association Stadium', ' Rajkot ']"
46,9,Mumbai Indians,Royal Challengers Bangalore,171,170,18,20,4,7,"[' Wankhede Stadium', ' Mumbai ']"
47,9,Kolkata Knight Riders,Punjab Kings,141,138,17.1,20,4,8,"[' IS Bindra Stadium', ' Mohali ']"
48,9,Sunrisers Hyderabad,Mumbai Indians,145,142,17.3,20,3,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
49,9,Delhi Capitals,Royal Challengers Bangalore,192,191,19.1,20,3,5,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
50,9,Punjab Kings,Rising Pune Supergiant,153,152,18.4,20,4,7,"[' IS Bindra Stadium', ' Mohali ']"
51,9,Gujarat Lions,Mumbai Indians,147,143,20,20,7,8,"[' Wankhede Stadium', ' Mumbai ']"
52,9,Kolkata Knight Riders,Sunrisers Hyderabad,146,142,18.2,20,2,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
53,9,Delhi Capitals,Punjab Kings,113,111,13.3,20,2,9,"[' Arun Jaitley Stadium', ' Delhi ']"
54,9,Gujarat Lions,Rising Pune Supergiant,164,163,18,20,3,5,"[' Saurashtra Cricket Association Stadium', ' Rajkot ']"
55,9,Mumbai Indians,Kolkata Knight Riders,188,187,19.1,20,4,5,"[' Eden Gardens', ' Kolkata ']"
56,9,Royal Challengers Bangalore,Sunrisers Hyderabad,227,182,20,20,4,6,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
57,9,Gujarat Lions,Punjab Kings,162,161,17.4,20,5,6,"[' IS Bindra Stadium', ' Mohali ']"
58,9,Kolkata Knight Riders,Delhi Capitals,99,98,14.1,17.4,1,2,"[' Eden Gardens', ' Kolkata ']"
59,9,Rising Pune Supergiant,Mumbai Indians,126,121,14.4,20,1,8,"[' Wankhede Stadium', ' Mumbai ']"
