,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,6,Mumbai Indians,Chennai Super Kings,148,125,20,20,9,9,"[' Eden Gardens', ' Kolkata ']"
1,6,Mumbai Indians,Rajasthan Royals,169,165,19.5,20,6,6,"[' Eden Gardens', ' Kolkata ']"
2,6,Rajasthan Royals,Sunrisers Hyderabad,135,132,19.2,20,6,7,"[' Arun Jaitley Stadium', ' Delhi ']"
3,6,Chennai Super Kings,Mumbai Indians,192,144,20,18.4,1,2,"[' Arun Jaitley Stadium', ' Delhi ']"
4,6,Sunrisers Hyderabad,Kolkata Knight Riders,132,130,18.5,20,5,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
5,6,Pune Warriors India,Delhi Capitals,172,134,20,20,5,9,"["" Maharashtra Cricket Association's International Stadium"", ' Pune ']"
6,6,Royal Challengers Bangalore,Chennai Super Kings,106,82,8/8,8/8,2,6,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
7,6,Punjab Kings,Mumbai Indians,183,133,20,19.1,8,2,"[' HPCA Stadium', ' Dharamsala ']"
8,6,Sunrisers Hyderabad,Rajasthan Royals,136,113,20,20,9,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad ']"
9,6,Punjab Kings,Delhi Capitals,171,164,20,20,4,7,"[' HPCA Stadium', ' Dharamsala ']"
10,6,Mumbai Indians,Rajasthan Royals,166,152,20,20,8,7,"[' Wankhede Stadium', ' Mumbai ']"
11,6,Pune Warriors India,Kolkata Knight Riders,170,163,20,20,4,7,"[' JSCA International Cricket Stadium', ' Ranchi ']"
12,6,Chennai Super Kings,Delhi Capitals,168,135,20,20,4,9,"[' M. A. Chidambaram Stadium', ' Chennai ']"
13,6,Punjab Kings,Royal Challengers Bangalore,176,174,18.1,20,3,5,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
